EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
666,3.0,2.0,4.0,3,3,34,No,Travel_Frequently,Sales,1,3,Life Sciences,1,Male,2,Sales Executive,Married,24000,4.0,Y,18,8,1,14.0,3,10,1,8
667,3.0,3.0,3.0,3,3,35,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,Male,4,Healthcare Representative,Married,98240,0.0,Y,19,8,0,4.0,2,3,2,2
668,2.0,2.0,3.0,3,3,42,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,Female,1,Manager,Married,64470,6.0,Y,13,8,0,18.0,3,1,0,0
669,4.0,4.0,4.0,4,3,43,No,Travel_Rarely,Research & Development,7,2,Medical,1,Female,1,Laboratory Technician,Single,195020,3.0,Y,18,8,2,23.0,3,21,15,17
670,3.0,2.0,3.0,2,4,36,No,Travel_Rarely,Research & Development,2,4,Medical,1,Male,1,Healthcare Representative,Single,27250,9.0,Y,21,8,1,18.0,4,16,5,12
671,1.0,4.0,3.0,3,3,44,Yes,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Female,2,Laboratory Technician,Married,62720,1.0,Y,19,8,1,10.0,3,10,0,5
672,4.0,4.0,3.0,3,3,28,No,Travel_Frequently,Research & Development,2,3,Life Sciences,1,Female,2,Sales Representative,Married,21270,1.0,Y,14,8,0,2.0,3,2,2,2
673,2.0,3.0,2.0,3,3,51,No,Travel_Frequently,Sales,21,4,Medical,1,Male,2,Research Scientist,Single,182000,0.0,Y,17,8,0,8.0,3,7,7,7
674,3.0,3.0,3.0,3,3,30,No,Non-Travel,Research & Development,2,4,Other,1,Male,1,Research Scientist,Single,20960,7.0,Y,11,8,3,10.0,2,8,1,7
675,2.0,3.0,3.0,3,3,29,Yes,Travel_Rarely,Research & Development,29,4,Technical Degree,1,Female,1,Sales Representative,Divorced,28860,3.0,Y,13,8,0,10.0,4,7,7,7
676,4.0,1.0,2.0,3,3,28,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,Sales Representative,Single,20330,2.0,Y,15,8,1,5.0,5,3,1,2
677,4.0,2.0,2.0,3,4,25,No,Travel_Rarely,Research & Development,18,2,Life Sciences,1,Male,1,Research Scientist,Single,36220,1.0,Y,25,8,0,2.0,0,2,2,1
678,3.0,4.0,4.0,3,3,32,No,Travel_Rarely,Research & Development,10,4,Other,1,Female,1,Sales Executive,Married,42330,1.0,Y,11,8,0,10.0,5,10,0,8
679,,2.0,3.0,3,3,45,No,Travel_Frequently,Research & Development,19,3,Medical,1,Male,3,Laboratory Technician,Single,36810,3.0,Y,17,8,1,22.0,2,0,0,0
680,3.0,2.0,3.0,3,3,39,No,Travel_Rarely,Sales,29,1,Marketing,1,Female,1,Laboratory Technician,Divorced,54600,6.0,Y,13,8,2,21.0,3,19,15,2
681,1.0,3.0,3.0,1,3,58,No,Travel_Rarely,Research & Development,27,3,Other,1,Male,2,Laboratory Technician,Divorced,21870,1.0,Y,18,8,1,2.0,1,2,2,2
682,4.0,3.0,3.0,3,3,32,Yes,Travel_Rarely,Research & Development,5,3,Technical Degree,1,Female,1,Sales Executive,Married,96020,1.0,Y,13,8,1,10.0,3,10,1,1
683,3.0,1.0,3.0,2,4,39,Yes,Travel_Rarely,Research & Development,18,2,Life Sciences,1,Male,2,Laboratory Technician,Single,28360,0.0,Y,20,8,0,6.0,3,5,0,3
684,1.0,4.0,3.0,4,3,30,No,Travel_Rarely,Sales,9,1,Marketing,1,Male,4,Research Director,Married,40890,0.0,Y,18,8,0,10.0,2,9,6,7
685,4.0,3.0,3.0,2,3,36,No,Travel_Rarely,Sales,1,3,Marketing,1,Male,2,Sales Executive,Married,166270,3.0,Y,12,8,0,10.0,5,7,1,7
686,4.0,1.0,4.0,2,3,46,No,Travel_Rarely,Sales,4,3,Medical,1,Male,1,Research Scientist,Single,26190,6.0,Y,12,8,1,10.0,3,7,5,7
687,3.0,4.0,3.0,2,3,28,No,Non-Travel,Research & Development,1,3,Medical,1,Male,5,Sales Executive,Married,56790,0.0,Y,13,8,0,10.0,2,9,7,5
688,4.0,1.0,3.0,2,4,50,No,Travel_Rarely,Research & Development,20,2,Medical,1,Female,5,Laboratory Technician,Married,154020,4.0,Y,21,8,0,25.0,3,3,1,2
689,4.0,2.0,3.0,2,3,40,Yes,Travel_Rarely,Sales,8,1,Other,1,Male,1,Laboratory Technician,Single,59850,2.0,Y,13,8,3,9.0,1,5,1,0
690,2.0,2.0,2.0,3,3,52,Yes,Travel_Rarely,Research & Development,3,2,Technical Degree,1,Male,3,Laboratory Technician,Single,25790,9.0,Y,19,8,1,10.0,1,8,7,7
691,2.0,1.0,3.0,2,3,30,No,Travel_Rarely,Research & Development,6,4,Medical,1,Female,1,Sales Executive,Married,30410,1.0,Y,11,8,1,9.0,2,9,0,8
692,1.0,3.0,3.0,3,3,39,No,Travel_Rarely,Research & Development,26,1,Medical,1,Male,2,Healthcare Representative,Single,34470,0.0,Y,14,8,0,9.0,5,8,1,7
693,4.0,3.0,2.0,2,3,31,No,Non-Travel,Research & Development,1,2,Medical,1,Male,1,Sales Executive,Divorced,195130,1.0,Y,12,8,1,10.0,1,10,9,6
694,3.0,2.0,3.0,3,3,41,No,Non-Travel,Sales,6,3,Life Sciences,1,Female,1,Research Director,Single,27730,1.0,Y,11,8,0,19.0,3,19,11,9
695,4.0,2.0,4.0,3,3,31,Yes,Travel_Frequently,Research & Development,3,1,Life Sciences,1,Male,1,Sales Executive,Single,71040,1.0,Y,14,8,1,3.0,3,3,2,2
696,1.0,1.0,4.0,3,3,44,Yes,Travel_Rarely,Sales,5,3,Life Sciences,1,Male,1,Laboratory Technician,Married,63220,4.0,Y,11,8,1,10.0,2,3,1,2
697,3.0,3.0,2.0,2,3,42,No,Non-Travel,Research & Development,4,3,Life Sciences,1,Male,2,Laboratory Technician,Married,20830,0.0,Y,12,8,2,21.0,3,20,2,10
698,4.0,3.0,3.0,3,3,55,No,Travel_Rarely,Sales,11,3,Technical Degree,1,Male,2,Manufacturing Director,Married,83810,4.0,Y,15,8,1,23.0,3,19,9,11
699,4.0,2.0,3.0,3,3,56,No,Travel_Rarely,Sales,3,2,Medical,1,Female,3,Manufacturing Director,Single,26910,6.0,Y,16,8,1,36.0,6,7,7,7
700,3.0,3.0,3.0,3,3,40,No,Non-Travel,Research & Development,1,1,Life Sciences,1,Male,1,Laboratory Technician,Divorced,42860,9.0,Y,15,8,0,6.0,6,4,0,0
701,4.0,4.0,2.0,3,4,34,No,Travel_Rarely,Research & Development,3,2,Technical Degree,1,Male,2,Research Director,Divorced,26590,0.0,Y,24,8,3,10.0,2,9,1,6
702,3.0,4.0,3.0,2,3,40,No,Travel_Rarely,Sales,4,3,Medical,1,Male,2,Sales Executive,Single,94340,1.0,Y,13,8,1,9.0,3,9,8,8
703,3.0,1.0,3.0,2,3,41,No,Travel_Frequently,Sales,1,4,Other,1,Female,2,Healthcare Representative,Divorced,55610,0.0,Y,11,8,0,10.0,2,9,1,7
704,3.0,3.0,3.0,2,3,35,No,Travel_Frequently,Sales,1,2,Technical Degree,1,Male,2,Manager,Single,66460,1.0,Y,13,8,1,9.0,2,9,1,1
705,3.0,2.0,3.0,3,3,51,No,Travel_Rarely,Sales,18,2,Life Sciences,1,Male,4,Manufacturing Director,Divorced,77250,1.0,Y,13,8,1,33.0,2,33,0,10
706,2.0,1.0,3.0,2,3,38,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,1,Research Scientist,Divorced,107250,3.0,Y,18,8,0,11.0,5,7,1,7
707,3.0,1.0,4.0,4,3,34,No,Travel_Rarely,Sales,4,3,Life Sciences,1,Male,2,Research Scientist,Single,88470,1.0,Y,16,8,0,10.0,3,10,9,6
708,4.0,4.0,2.0,3,3,25,No,Travel_Rarely,Research & Development,6,2,Medical,1,Female,4,Research Scientist,Married,20450,3.0,Y,19,8,0,7.0,3,3,1,2
709,3.0,1.0,2.0,4,3,58,Yes,Travel_Rarely,Sales,1,4,Technical Degree,1,Male,2,Sales Executive,Married,10090,7.0,Y,13,8,2,31.0,3,10,5,9
710,2.0,2.0,3.0,1,4,40,No,Travel_Rarely,Research & Development,14,4,Medical,1,Female,1,Research Scientist,Married,33480,3.0,Y,22,8,0,7.0,2,4,0,3
711,1.0,1.0,2.0,3,3,36,No,Travel_Frequently,Sales,16,2,Life Sciences,1,Male,1,Research Scientist,Married,12810,2.0,Y,11,8,0,17.0,2,15,6,13
712,4.0,4.0,3.0,2,4,48,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,Male,2,Research Scientist,Single,28190,1.0,Y,20,8,0,11.0,2,10,0,8
713,3.0,4.0,3.0,3,3,27,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Female,2,Laboratory Technician,Married,48510,8.0,Y,18,8,0,5.0,2,1,0,0
714,4.0,2.0,2.0,3,3,51,No,Travel_Rarely,Research & Development,4,1,Medical,1,Female,3,Manufacturing Director,Single,40280,3.0,Y,14,8,0,29.0,3,5,0,3
715,4.0,4.0,4.0,3,4,18,No,Non-Travel,Research & Development,1,4,Medical,1,Male,2,Sales Executive,Single,27200,1.0,Y,22,8,1,0.0,2,0,0,0
716,4.0,4.0,3.0,2,3,35,No,Travel_Rarely,Research & Development,1,4,Other,1,Female,2,Research Director,Married,81200,0.0,Y,13,8,0,10.0,2,9,0,0
717,4.0,4.0,3.0,4,3,27,No,Travel_Frequently,Research & Development,26,4,Medical,1,Female,1,Research Director,Single,46470,3.0,Y,17,8,0,8.0,3,6,0,0
718,1.0,3.0,2.0,4,3,55,Yes,Travel_Rarely,Research & Development,19,3,Technical Degree,1,Male,1,Human Resources,Single,46800,6.0,Y,14,8,3,24.0,0,19,3,8
719,4.0,2.0,3.0,3,3,56,No,Travel_Rarely,Research & Development,24,4,Life Sciences,1,Male,2,Laboratory Technician,Married,32210,4.0,Y,15,8,2,33.0,2,19,15,9
720,1.0,3.0,3.0,3,3,34,No,Non-Travel,Sales,1,2,Life Sciences,1,Male,2,Research Scientist,Divorced,86210,1.0,Y,17,8,1,5.0,1,5,0,0
721,2.0,3.0,3.0,2,3,40,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Male,2,Sales Executive,Divorced,45770,5.0,Y,11,8,1,15.0,3,12,11,8
722,2.0,3.0,3.0,4,3,34,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,1,Research Scientist,Married,45530,4.0,Y,18,8,1,10.0,2,8,7,7
723,3.0,4.0,4.0,1,3,31,Yes,Travel_Frequently,Research & Development,2,2,Medical,1,Female,2,Manufacturing Director,Single,53960,7.0,Y,17,8,1,3.0,2,1,0,0
724,4.0,3.0,2.0,3,3,35,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,Male,1,Manufacturing Director,Married,67960,0.0,Y,13,8,0,5.0,2,4,3,2
725,4.0,3.0,3.0,2,3,38,No,Travel_Frequently,Research & Development,7,3,Medical,1,Female,2,Sales Representative,Divorced,76250,1.0,Y,15,8,0,4.0,2,4,0,3
726,3.0,4.0,4.0,3,4,34,No,Travel_Rarely,Research & Development,10,4,Other,1,Female,2,Laboratory Technician,Single,74120,1.0,Y,24,8,0,14.0,4,14,4,11
727,3.0,1.0,3.0,3,3,28,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Female,2,Healthcare Representative,Married,111590,1.0,Y,12,8,0,5.0,2,5,0,4
728,4.0,3.0,2.0,2,3,31,Yes,Travel_Rarely,Research & Development,15,2,Life Sciences,1,Male,2,Sales Executive,Married,49600,1.0,Y,15,8,0,10.0,3,10,6,7
729,1.0,4.0,4.0,3,3,39,No,Travel_Rarely,Research & Development,17,4,Technical Degree,1,Female,2,Healthcare Representative,Married,104750,3.0,Y,11,8,1,8.0,3,5,1,4
730,2.0,2.0,3.0,2,3,51,No,Travel_Frequently,Research & Development,20,3,Medical,1,Male,2,Sales Executive,Married,148140,2.0,Y,11,8,1,14.0,2,4,3,2
731,4.0,4.0,2.0,3,3,41,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Male,4,Sales Executive,Divorced,191410,3.0,Y,12,8,1,12.0,2,6,3,3
732,3.0,3.0,3.0,4,3,37,No,Travel_Rarely,Research & Development,2,2,Medical,1,Female,1,Healthcare Representative,Married,54050,7.0,Y,15,8,0,8.0,3,6,1,3
733,2.0,4.0,4.0,3,3,33,No,Travel_Frequently,Research & Development,2,3,Medical,1,Female,1,Sales Executive,Married,87930,6.0,Y,17,8,0,8.0,2,5,1,2
734,3.0,2.0,2.0,3,3,32,No,Travel_Rarely,Research & Development,1,4,Medical,1,Male,5,Research Director,Married,191890,0.0,Y,12,8,1,4.0,3,3,1,2
735,3.0,3.0,3.0,3,3,39,No,Non-Travel,Research & Development,29,2,Life Sciences,1,Male,2,Sales Executive,Married,38750,3.0,Y,15,8,0,13.0,3,6,0,5
736,1.0,3.0,,2,3,25,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Male,1,Sales Executive,Married,22160,2.0,Y,13,8,3,6.0,2,3,1,2
737,4.0,3.0,2.0,3,3,52,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Male,2,Sales Executive,Married,117130,2.0,Y,14,8,0,24.0,2,5,0,2
738,1.0,3.0,1.0,3,3,43,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,1,Laboratory Technician,Single,78610,1.0,Y,14,8,2,20.0,1,20,1,8
739,4.0,4.0,3.0,3,3,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,1,Human Resources,Married,37080,1.0,Y,16,8,2,6.0,2,6,4,4
740,4.0,3.0,3.0,4,3,27,Yes,Travel_Rarely,Research & Development,2,5,Life Sciences,1,Female,1,Research Scientist,Single,137700,1.0,Y,18,8,1,8.0,3,8,7,7
741,1.0,4.0,3.0,3,4,26,No,Travel_Rarely,Research & Development,2,2,Other,1,Male,3,Laboratory Technician,Single,53040,0.0,Y,20,8,1,5.0,2,4,1,1
742,3.0,1.0,3.0,3,3,42,No,Travel_Rarely,Sales,23,3,Marketing,1,Female,3,Research Scientist,Married,26420,0.0,Y,13,8,1,21.0,3,20,0,9
743,3.0,1.0,1.0,3,3,52,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,1,Healthcare Representative,Married,27590,9.0,Y,18,8,1,12.0,6,5,0,4
744,1.0,3.0,3.0,3,3,37,No,Travel_Rarely,Research & Development,20,5,Life Sciences,1,Male,2,Manager,Single,68040,4.0,Y,13,8,1,8.0,1,3,0,2
745,3.0,4.0,3.0,3,3,35,No,Travel_Frequently,Research & Development,6,4,Medical,1,Female,2,Research Director,Single,61420,2.0,Y,15,8,1,10.0,2,2,2,2
746,1.0,4.0,2.0,1,3,25,No,Travel_Rarely,Research & Development,1,4,Medical,1,Male,2,Sales Executive,Married,25000,4.0,Y,14,8,2,7.0,2,3,0,2
747,3.0,1.0,3.0,2,4,26,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,Male,1,Research Scientist,Single,63890,0.0,Y,22,8,0,8.0,2,7,0,7
748,2.0,1.0,2.0,2,3,29,No,Travel_Rarely,Sales,9,3,Life Sciences,1,Male,1,Laboratory Technician,Single,111030,1.0,Y,12,8,0,10.0,5,10,0,9
749,1.0,1.0,3.0,3,3,49,Yes,Travel_Frequently,Sales,6,5,Medical,1,Female,2,Healthcare Representative,Single,23420,3.0,Y,18,8,0,20.0,2,4,1,3
750,3.0,4.0,3.0,3,3,29,Yes,Travel_Frequently,Sales,3,2,Marketing,1,Female,2,Laboratory Technician,Single,68110,0.0,Y,15,8,1,9.0,2,8,7,7
751,4.0,4.0,2.0,2,3,54,No,Travel_Rarely,Sales,1,3,Medical,1,Female,2,Manager,Single,22970,6.0,Y,18,8,2,29.0,2,20,12,7
752,4.0,1.0,3.0,3,3,58,No,Travel_Rarely,Sales,22,3,Life Sciences,1,Female,2,Laboratory Technician,Married,24500,3.0,Y,12,8,1,32.0,2,9,1,5
753,2.0,4.0,4.0,3,3,55,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,Research Scientist,Divorced,50930,2.0,Y,16,8,1,31.0,3,7,0,0
754,1.0,2.0,3.0,3,3,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Single,53090,3.0,Y,13,8,0,15.0,5,5,0,1
755,2.0,3.0,3.0,3,3,31,Yes,Travel_Frequently,Sales,4,3,Life Sciences,1,Male,2,Manager,Single,30570,1.0,Y,19,8,0,1.0,3,1,0,0
756,4.0,1.0,3.0,3,3,30,No,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,Sales Executive,Divorced,51210,7.0,Y,13,8,0,8.0,4,3,0,2
757,1.0,2.0,4.0,3,3,31,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,1,Laboratory Technician,Single,168560,3.0,Y,12,8,1,9.0,3,3,1,0
758,4.0,1.0,3.0,4,3,34,No,Travel_Frequently,Sales,2,1,Marketing,1,Female,5,Manager,Divorced,26860,5.0,Y,11,8,0,10.0,3,4,1,3
759,1.0,2.0,4.0,1,3,31,Yes,Travel_Rarely,Sales,20,3,Technical Degree,1,Male,1,Research Scientist,Single,61800,1.0,Y,14,8,1,1.0,2,1,0,0
760,2.0,1.0,4.0,3,3,27,No,Travel_Rarely,Human Resources,11,4,Medical,1,Male,4,Sales Executive,Married,66320,0.0,Y,16,8,0,6.0,3,5,1,4
761,1.0,4.0,2.0,2,3,36,No,Travel_Rarely,Sales,1,3,Marketing,1,Male,2,Research Scientist,Single,35050,1.0,Y,12,8,2,10.0,2,10,1,8
762,3.0,1.0,2.0,3,3,36,No,Travel_Rarely,Research & Development,24,3,Other,1,Female,3,Research Director,Married,63970,4.0,Y,14,8,1,11.0,3,3,0,2
763,1.0,4.0,2.0,3,3,47,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,Female,2,Sales Executive,Married,62740,7.0,Y,14,8,2,17.0,0,6,1,2
764,1.0,1.0,3.0,2,3,25,Yes,Travel_Rarely,Sales,16,4,Life Sciences,1,Male,2,Research Scientist,Married,198590,3.0,Y,19,8,0,6.0,3,3,2,2
765,3.0,3.0,1.0,3,4,37,No,Non-Travel,Sales,8,4,Medical,1,Male,1,Healthcare Representative,Single,75870,0.0,Y,22,8,1,7.0,5,6,1,3
766,1.0,1.0,4.0,3,3,56,No,Travel_Rarely,Research & Development,10,4,Other,1,Male,2,Sales Representative,Married,42580,2.0,Y,16,8,0,5.0,2,3,1,0
767,1.0,3.0,4.0,3,3,47,No,Travel_Rarely,Research & Development,3,2,Medical,1,Male,2,Laboratory Technician,Married,43640,3.0,Y,11,8,1,26.0,3,20,5,6
768,4.0,3.0,3.0,3,3,24,No,Travel_Rarely,Research & Development,5,1,Other,1,Male,1,Manufacturing Director,Married,43350,1.0,Y,15,8,1,5.0,5,5,0,3
769,4.0,4.0,2.0,3,3,32,No,Travel_Rarely,Sales,4,3,Marketing,1,Male,1,Research Scientist,Married,53260,4.0,Y,14,8,1,7.0,2,4,0,3
770,4.0,2.0,2.0,3,3,34,No,Travel_Rarely,Research & Development,9,2,Medical,1,Male,1,Sales Executive,Married,32800,5.0,Y,13,8,0,7.0,3,5,0,2
771,2.0,3.0,2.0,3,3,41,No,Travel_Rarely,Research & Development,26,3,Medical,1,Female,3,Sales Executive,Married,54850,2.0,Y,17,8,2,7.0,2,4,0,3
772,3.0,3.0,4.0,2,3,40,No,Non-Travel,Sales,3,2,Life Sciences,1,Male,1,Sales Executive,Divorced,43420,3.0,Y,11,8,1,11.0,6,8,0,7
773,1.0,4.0,3.0,3,3,31,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,2,Human Resources,Divorced,27820,1.0,Y,19,8,1,13.0,5,13,9,9
774,1.0,4.0,4.0,3,3,46,Yes,Travel_Rarely,Research & Development,18,1,Medical,1,Male,1,Manufacturing Director,Divorced,59800,4.0,Y,11,8,1,28.0,2,7,4,3
775,1.0,1.0,4.0,2,3,39,Yes,Non-Travel,Research & Development,2,4,Medical,1,Male,2,Manufacturing Director,Single,43810,2.0,Y,15,8,2,11.0,1,1,0,0
776,3.0,2.0,3.0,3,3,31,Yes,Travel_Frequently,Sales,2,3,Medical,1,Male,2,Sales Executive,Single,25720,1.0,Y,13,8,3,10.0,3,10,4,7
777,2.0,1.0,3.0,3,3,45,No,Travel_Rarely,Sales,10,2,Marketing,1,Male,1,Sales Executive,Divorced,38330,2.0,Y,14,8,0,24.0,1,7,0,7
778,4.0,2.0,3.0,3,3,31,No,Travel_Rarely,Research & Development,16,4,Life Sciences,1,Male,3,Human Resources,Single,42440,9.0,Y,13,8,0,8.0,3,3,0,2
779,2.0,4.0,1.0,3,4,31,Yes,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,1,Laboratory Technician,Married,65000,6.0,Y,23,8,1,7.0,5,2,2,2
780,2.0,4.0,4.0,3,3,45,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Female,1,Research Scientist,Married,184300,4.0,Y,12,8,1,10.0,5,3,1,2
781,3.0,1.0,3.0,3,3,48,No,Travel_Rarely,Research & Development,24,3,Technical Degree,1,Male,2,Research Scientist,Divorced,16010,4.0,Y,12,8,0,15.0,3,2,2,2
782,1.0,3.0,3.0,3,3,34,Yes,Travel_Rarely,Research & Development,7,4,Medical,1,Male,2,Research Scientist,Married,26940,1.0,Y,16,8,1,2.0,3,2,2,2
783,4.0,2.0,3.0,2,3,40,No,Non-Travel,Research & Development,25,4,Other,1,Female,1,Sales Executive,Divorced,31490,2.0,Y,15,8,1,16.0,1,9,4,8
784,4.0,1.0,3.0,3,3,28,No,Travel_Rarely,Research & Development,1,2,Technical Degree,1,Female,1,Research Scientist,Single,176390,0.0,Y,13,8,1,6.0,0,5,1,3
785,3.0,3.0,3.0,2,3,44,No,Non-Travel,Research & Development,5,3,Life Sciences,1,Male,1,Laboratory Technician,Single,23190,3.0,Y,18,8,0,7.0,4,5,0,3
786,4.0,2.0,2.0,3,4,53,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Male,2,Manager,Single,116910,4.0,Y,20,8,0,35.0,2,9,8,8
787,1.0,3.0,2.0,1,3,49,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,3,Laboratory Technician,Married,53240,2.0,Y,19,8,0,20.0,2,3,1,2
788,3.0,3.0,4.0,3,3,40,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,3,Laboratory Technician,Divorced,167520,2.0,Y,18,8,1,8.0,3,3,1,2
789,4.0,2.0,2.0,4,3,44,No,Travel_Rarely,Research & Development,5,1,Other,1,Male,3,Research Scientist,Single,52280,1.0,Y,13,8,0,6.0,2,5,1,3
790,4.0,1.0,3.0,3,3,33,No,Travel_Frequently,Human Resources,10,3,Medical,1,Female,2,Sales Executive,Married,27000,0.0,Y,14,8,3,5.0,2,4,0,3
791,4.0,1.0,3.0,3,3,34,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,Female,1,Sales Representative,Single,192460,3.0,Y,15,8,1,15.0,5,13,3,12
792,4.0,3.0,2.0,3,4,30,No,Travel_Rarely,Sales,1,2,Technical Degree,1,Male,1,Laboratory Technician,Married,25060,8.0,Y,22,8,0,4.0,3,2,2,2
793,1.0,4.0,3.0,3,4,42,No,Travel_Frequently,Research & Development,8,4,Medical,1,Female,1,Sales Executive,Single,60620,1.0,Y,22,8,2,12.0,2,12,5,8
794,1.0,3.0,2.0,3,3,44,No,Travel_Frequently,Research & Development,5,3,Life Sciences,1,Female,5,Manufacturing Director,Married,43820,7.0,Y,16,8,2,11.0,2,1,0,0
795,3.0,3.0,2.0,3,3,30,No,Non-Travel,Research & Development,8,3,Life Sciences,1,Male,1,Manufacturing Director,Divorced,21430,1.0,Y,17,8,1,1.0,2,1,0,0
796,2.0,3.0,2.0,2,3,57,No,Travel_Rarely,Sales,2,1,Life Sciences,1,Male,3,Research Scientist,Married,61620,0.0,Y,14,8,0,13.0,5,12,2,8
797,3.0,2.0,3.0,3,3,49,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Female,2,Sales Executive,Divorced,50940,3.0,Y,15,8,0,29.0,5,8,0,7
798,2.0,1.0,2.0,3,4,34,No,Travel_Frequently,Research & Development,2,4,Medical,1,Female,2,Sales Representative,Divorced,68770,7.0,Y,20,8,0,16.0,3,14,6,9
799,1.0,3.0,4.0,3,4,28,Yes,Travel_Frequently,Research & Development,2,3,Medical,1,Male,1,Research Scientist,Married,22740,3.0,Y,20,8,1,5.0,5,3,1,2
800,1.0,2.0,1.0,3,3,29,Yes,Travel_Frequently,Research & Development,28,3,Medical,1,Female,5,Research Scientist,Single,44340,,Y,17,8,3,7.0,1,5,0,0
801,1.0,2.0,4.0,3,3,34,Yes,Travel_Rarely,Research & Development,7,1,Medical,1,Male,1,Research Scientist,Single,62880,0.0,Y,15,8,1,16.0,2,15,10,10
802,4.0,3.0,3.0,2,3,35,No,Travel_Rarely,Sales,7,4,Other,1,Female,4,Healthcare Representative,Married,25530,1.0,Y,14,8,1,1.0,4,1,0,0
803,2.0,1.0,2.0,2,3,24,Yes,Travel_Frequently,Sales,3,3,Life Sciences,1,Male,2,Research Scientist,Single,76540,2.0,Y,17,8,1,4.0,3,0,0,0
804,4.0,2.0,3.0,1,3,24,No,Non-Travel,Research & Development,10,3,Life Sciences,1,Female,2,Manager,Married,51600,1.0,Y,17,8,1,1.0,3,1,0,0
805,2.0,3.0,2.0,2,4,44,No,Travel_Frequently,Research & Development,5,2,Medical,1,Female,2,Research Scientist,Single,171590,5.0,Y,22,8,1,16.0,1,2,2,2
806,3.0,3.0,3.0,3,3,29,No,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,1,Sales Executive,Divorced,128080,1.0,Y,13,8,0,10.0,6,10,0,4
807,3.0,3.0,4.0,3,3,30,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,3,Sales Executive,Divorced,102210,0.0,Y,19,8,1,6.0,2,5,1,3
808,4.0,3.0,3.0,3,3,55,No,Travel_Rarely,Sales,20,3,Marketing,1,Male,2,Research Scientist,Married,47790,0.0,Y,14,8,1,4.0,6,3,1,2
809,1.0,2.0,3.0,3,4,33,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Male,2,Research Scientist,Married,37370,8.0,Y,22,8,2,8.0,2,5,0,2
810,3.0,3.0,2.0,2,3,47,No,Travel_Rarely,Research & Development,8,4,Medical,1,Female,2,Sales Representative,Married,23660,3.0,Y,17,8,0,11.0,5,5,1,2
811,3.0,1.0,2.0,3,3,28,Yes,Travel_Frequently,Sales,1,3,Marketing,1,Male,2,Laboratory Technician,Single,17060,7.0,Y,12,8,0,8.0,3,0,0,0
812,1.0,3.0,1.0,2,3,28,No,Travel_Rarely,Sales,8,4,Marketing,1,Male,1,Laboratory Technician,Divorced,163070,1.0,Y,16,8,0,1.0,3,1,0,0
813,3.0,1.0,3.0,3,3,28,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,2,Sales Executive,Single,59330,0.0,Y,11,8,0,5.0,3,4,1,3
814,3.0,1.0,3.0,3,3,49,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,Female,1,Research Scientist,Married,34240,4.0,Y,11,8,0,10.0,3,3,1,2
815,4.0,2.0,3.0,1,3,29,No,Travel_Frequently,Research & Development,8,1,Medical,1,Male,1,Research Scientist,Married,40370,0.0,Y,14,8,0,4.0,2,3,0,2
